GAME_DATE,TEAM_NAME_HOME,TEAM_NAME_AWAY,PTS_HOME,PTS_AWAY,FG_PCT_HOME,FG_PCT_AWAY,HOME_WIN,ROLLING_PTS_HOME,ROLLING_PTS_AWAY,ELO_HOME,ELO_AWAY
2024-12-01,Houston Rockets,Oklahoma City Thunder,119,116,0.413,0.447,1,117.2,114.4,1575.6636815672612,1598.1457470928638
2024-12-01,Utah Jazz,Los Angeles Lakers,104,105,0.506,0.443,0,105.4,108.0,1420.0152701971767,1507.772216520616
2024-12-01,Memphis Grizzlies,Indiana Pacers,136,121,0.527,0.478,1,119.3,110.2,1552.976860641784,1479.7190026320236
2024-12-01,Portland Trail Blazers,Dallas Mavericks,131,137,0.583,0.552,0,111.6,116.9,1484.4734875905199,1527.6504148883503
2024-12-01,Brooklyn Nets,Orlando Magic,92,100,0.38,0.459,0,114.5,102.9,1479.750416707187,1557.2133716855049
2024-12-01,New York Knicks,New Orleans Pelicans,118,85,0.457,0.372,1,118.1,98.9,1535.5870305807077,1398.936834200668
2024-12-01,Cleveland Cavaliers,Boston Celtics,115,111,0.488,0.4,1,125.7,123.6,1569.1579540355926,1605.287788014647
2024-12-02,Minnesota Timberwolves,Los Angeles Lakers,109,80,0.506,0.405,1,110.8,111.1,1479.640922818515,1515.298747861114
2024-12-02,Atlanta Hawks,New Orleans Pelicans,124,112,0.51,0.44,1,117.1,96.9,1490.0889269641118,1392.6789441542546
2024-12-02,Boston Celtics,Miami Heat,108,89,0.438,0.356,1,118.1,112.6,1594.2516201243805,1506.0943103206878
2024-12-02,Chicago Bulls,Brooklyn Nets,128,102,0.522,0.4,1,119.7,111.7,1468.8483991822293,1471.9437563643614
2024-12-03,New York Knicks,Orlando Magic,121,106,0.506,0.437,1,118.2,103.0,1541.8449206271212,1565.0200320283304
2024-12-03,Dallas Mavericks,Memphis Grizzlies,121,116,0.481,0.464,1,117.0,122.3,1536.4140412596705,1560.8990318517713
2024-12-03,Charlotte Hornets,Philadelphia 76ers,104,110,0.442,0.463,0,104.1,104.1,1426.5567310627366,1422.3850645929606
2024-12-03,Cleveland Cavaliers,Washington Wizards,118,87,0.483,0.386,1,123.8,107.3,1580.1941219258592,1394.2681049155378
2024-12-03,Sacramento Kings,Houston Rockets,120,111,0.516,0.441,1,115.0,113.2,1443.701885784264,1586.3098657795738
2024-12-03,Detroit Pistons,Milwaukee Bucks,107,128,0.46,0.563,0,109.4,103.2,1469.2060155000909,1506.8855043769308
2024-12-03,Denver Nuggets,Golden State Warriors,119,115,0.506,0.463,1,115.4,115.1,1508.9609502432436,1564.7672370500557
2024-12-03,Toronto Raptors,Indiana Pacers,122,111,0.543,0.452,1,117.5,110.8,1435.21908293201,1471.7968314220363
2024-12-03,Phoenix Suns,San Antonio Spurs,104,93,0.487,0.35,1,114.1,108.4,1522.5452915892008,1515.8170133027481
2024-12-03,Oklahoma City Thunder,Utah Jazz,133,106,0.52,0.543,1,114.4,109.5,1587.4995628805511,1412.4887388566788
2024-12-03,LA Clippers,Portland Trail Blazers,127,105,0.553,0.513,1,109.1,103.1,1552.6644830097746,1475.7098612191996
2024-12-04,LA Clippers,Minnesota Timberwolves,80,108,0.349,0.482,0,109.9,112.7,1560.4850749592188,1490.6636491756346
2024-12-04,Brooklyn Nets,Indiana Pacers,99,90,0.432,0.427,1,110.6,112.1,1461.8546671801284,1460.747911640663
2024-12-04,Milwaukee Bucks,Atlanta Hawks,104,119,0.423,0.441,0,117.0,116.4,1515.8052333820735,1497.3564662469582
2024-12-04,Boston Celtics,Detroit Pistons,130,120,0.479,0.512,1,117.4,112.3,1601.7673361713257,1460.2862864949482
2024-12-04,Miami Heat,Los Angeles Lakers,134,93,0.578,0.42,1,111.3,108.6,1498.5785942737425,1504.2760215039943
2024-12-04,Philadelphia 76ers,Orlando Magic,102,106,0.488,0.488,0,106.7,102.7,1432.505129036005,1554.353986230133
2024-12-05,New Orleans Pelicans,Phoenix Suns,126,124,0.495,0.506,1,108.7,111.8,1385.4114048714082,1532.3516603780104
